Label,Client-name,Client-primary-contact-email,Client-domain,
AAS,"Able Ag Solutions, LLC",pieterbooysen@ableagsolutions.com,ableagsolutions.com,
AGR,Agrauxine Corp.,j.duncan@agrauxine.lesaffre.com,agrauxine.lesaffre.com,
AND,Andermatt US,sarah.risorto@andermatt.usa.com,andermatt.usa.com,
AQB,AquaBella Organic Solutions LLC,,none,
AQT,Aquatrols Corp of American,Federico.DePellegrini@lamberti.com,lamberti.com,
ARB,"Arborjet, Inc.",nmillen@arborjet.com,arborjet.com,
BIN,Bio Insumos Nativa SpA,lorena.maldonado@bionativa.cl,bionativa.cl,
BPT,"BioPro Technologies, LLC",sarah@ecologel.com,ecologel.com,
BIO,BIOVERT SL,,none,
COM,Comerco,,none,
ZZZ,Company Automation Tester,tjtubia@delta-ac.com,delta-ac.com,
COR,Corteva Agriscience LLC,carol.saunders@corteva.com,corteva.com,
DED,dedetec,uwe.dederichs@dedetec.de ,dedetec.de ,
DEL,Delta Analytical Corporation,,none,
ECO,"Ecologel Solutions, LLC",sarah@ecologel.com,ecologel.com,
EEA,"Elemental Enzymes Ag and Turf, LLC ",keith@elementalenzymes.com,elementalenzymes.com,
GWB,Groundwork BioAg Ltd,,none,
HIC,Hi Cell Crop Science PVt. Ltd,,none,
IBA,Indogulf BioAg,biosolutions@indogulfgroup.com,indogulfgroup.com,
KIT,KitoZyme,g.deleixhe@kitozyme.com,kitozyme.com,
KOC,Kocide / Speiss-Urania, jens.niklaus@spiess-urania.com,spiess-urania.com,
LAM,"Lamberti, Inc",,none,
LOC,Locus Agriculture Solutions,,none,
MAN,Manvert USA LLC,eli.pifarre@manvert.com,manvert.com,
NLS,NewLeaf Symbiotics,,none,
OMC,Omya Canada,bradford.searcy@omya.com,omya.com,
OMY,Omya Inc.,bradford.searcy@omya.com,omya.com,
PET,Petglow,rakesh@celcius.us,celcius.us,
P66,Phillips 66,,none,
PVT,"Pivot Bio, Inc.",shade@pivotbio.com,pivotbio.com,
PRO,Probelte S.A.U.,andresantos@probelte.com,probelte.com,
ROY,Royal Brinkman Canada,julie.fordyce@royalbrinkman.ca,royalbrinkman.ca,
SAG,"Solstice Agriculture, LLC",patrick@solsticeag.com,solsticeag.com,
SOL,Soluneem,,none,
SYM,Symborg Inc,luciaanza@symborg.com,symborg.com,
TBP,ThinkBio PTY,,none,
BOR,U.S. Borax Inc.,roger.gunning@riotinto.com,riotinto.com,
