label,client-name,,,,,
AAS,"Able Ag Solutions, LLC",,,,,
AGR,Agrauxine Corp.,,,,,
AND,Andermatt US,,,,,
AQB,AquaBella Organic Solutions LLC,,,,,
AQT,Aquatrols Corp of American,,,,,
ARB,"Arborjet, Inc.",,,,,
BIN,Bio Insumos Nativa SpA,,,,,
BPT,"BioPro Technologies, LLC",,,,,
BIO,BIOVERT SL,,,,,
COM,Comerco,,,,,
ZZZ,Company Automation Tester,,,,,
COR,Corteva Agriscience LLC,,,,,
DED,dedetec,,,,,
DEL,Delta Analytical Corporation,,,,,
ECO,"Ecologel Solutions, LLC",,,,,
EEA,"Elemental Enzymes Ag and Turf, LLC ",,,,,
GWB,Groundwork BioAg Ltd,,,,,
HIC,Hi Cell Crop Science PVt. Ltd,,,,,
IBA,Indogulf BioAg,,,,,
KIT,KitoZyme,,,,,
KOC,Kocide / Speiss-Urania,,,,,
LAM,"Lamberti, Inc",,,,,
LOC,Locus Agriculture Solutions,,,,,
MAN,Manvert USA LLC,,,,,
NLS,NewLeaf Symbiotics,,,,,
OMC,Omya Canada,,,,,
OMY,Omya Inc.,,,,,
PET,Petglow,,,,,
P66,Phillips 66,,,,,
PVT,"Pivot Bio, Inc.",,,,,
PRO,Probelte S.A.U.,,,,,
ROY,Royal Brinkman Canada,,,,,
SAG,"Solstice Agriculture, LLC",,,,,
SOL,Soluneem,,,,,
SYM,Symborg Inc,,,,,
TBP,ThinkBio PTY,,,,,
BOR,U.S. Borax Inc.,,,,,
