State - Reg,State Abv,State Name,Reg Classification,Regulation Archived,Product Types regulated,Product Use Method,N-P-K Trigger,Claim Triggers,Package Size Trigger,Microbes Included,Tonnage Reporting Req?,Regulation,Frequency,Renewal Month,Initial Cost/Unit,Renewal Cost/Unit,TON Cost/Unit,Fee Unit,Min Ton Fee,Late Fee,State Contact (SC),SC Email Address,Office Mgr (Team lead),Office Mgr Email Address,Office Phone,Office Email,Check Payee,New Reg Method,New Registration Form or Portal,New Reg Sub Docs,New Reg Turnaround,Minimum Days Before Follow-up,New Reg Difficulty,Efficacy Requirements,In-state trials,Labs Required For Reg?,Test Frequency,Heavy Metals Test,Pathogen Analysis,Renewal Method,Renewal Sub Docs,Label Update Submission Method,Renewal Form or Portal,Tonnage Submission Method,Tonnage Form or Portal,Regulator Web Address,New Reg Trigger,Adjuvant Req,Discontinuance Period,Notes,Address Line 1,Address Line 2,Address Line 3,Mailing City,Mailing State,Mailing Zip,Delta Classification,Registration Tracking copy,Client Logins,Registration Tracking copy copy,Labeling Requirements,New Registration Notes,Client List,Tonnage Month,Renewal Season
AK-Fertilizer,AK,Alaska,Fertilizer,,Fertilizer,N/A,> 0,,,No,No,No Regulation,,,,,,,,,,,,,(907) 269-8400,,Colorado Dept of Ag,,,,,,,,,,,,,,,,,,,http://dnr.alaska.gov/ag/ag_is.htm,,,,,Alaska Division of Environmental Health,Pesticide Control Program ,,,,,Fertilizer,"897,1846,1850,2966,3026,3092,3155,3218,3281,3344,3469,3563,3690,3754,3818,3882,4004,4069,4134,4198,4275,4339,4410,4474,4593,4657,4721,4785,4850,4914,4978,5106,5327,5401,5470,9071,9137,9203,9933,10358,10622,11100,11203,11306,11409,12753,12965,13682,13752,13753,13754,13755,13756,13757,13758,13759,13760,13761",,"897,1846,1850,2966,3026,3092,3155,3218,3281,3344,3469,3563,3690,3754,3818,3882,4004,4069,4134,4198,4275,4339,4410,4474,4593,4657,4721,4785,4850,4914,4978,5106,5327,5401,5470,9071,9137,9203,9933,10358,10622,12753,11100,11203,12965,11306,11409",,,,,
AL-Beneficial Substance,AL,Alabama,Beneficial Substance,checked,"Biological Inoculant,Amendment/Conditioner",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-Commercial Fertilizer,AL,Alabama,Commercial Fertilizer,,Fertilizer,N/A,> 0,,,No,Yes,Label Submission,Annual,10,$0.00,$0.00,,,,,​Donnie Walker​,Donnie.Walker@agi.alabama.gov,,,(334) 240-7121,,Alabama Department of Agriculture & Industries,Paper/Mail,https://adaiagcomp.force.com/agi/s/login/,Label,3 months,30,Easy,,,,,,,Online Portal,Current Labels (every year),Online Portal,https://adaiagcomp.force.com/agi/s/login/,,https://adaiagcomp.force.com/agi/s/login/,https://agi.alabama.gov/agcompliance/permits/,,,,"Registration not required. Label submission only, because we have a Manufacturer's Permit",Alabama Dept of Agriculture & Industries,Audits and Reports Section,,,,,Fertilizer,"314,1120,1121,1007,1464,2045,2967,3027,3093,3156,3219,3282,3345,3470,3564,3691,3755,3819,3883,4005,4070,4135,4199,4276,4340,4411,4475,4594,4658,4722,4786,4851,4915,4979,5107,5326,5400,5469,5806,5902,5929,5943,5957,5971,6731,8381,8382,8673,8684,8732,8964,8972,8973,8974,8976,9026,9092,9158,9832,9934,10359,10623,11090,11193,11296,11399,12749,13068,13565,13566,13567,13568,13569,13570,13683","COR-AL-ALL NON-PEST-ALL,AGR-AL-ALL NON-PEST-ALL,ARB-AL-ALL NON-PEST-ALL,BIN-AL-ALL NON-PEST-ALL,BOR-AL-ALL NON-PEST-ALL,SYM-AL-ALL NON-PEST-ALL,VER-AL-ALL NON-PEST-ALL,OMY-AL-ALL NON-PEST-ALL,GWB-AL-ALL NON-PEST-ALL,EEA-AL-ALL NON-PEST-ALL,AAS-AL-ALL NON-PEST-ALL,ABM-AL-ALL NON-PEST-ALL,ABM-AL-ALL NON-PEST-ALL,IBA-AL-ALL NON-PEST-ALL","314,1007,1120,1121,1464,2045,2967,3027,3093,3156,3219,3282,3345,3470,3564,3691,3755,3819,3883,4005,4070,4135,4199,4276,4340,4411,4475,4594,4658,4722,4786,4851,4915,4979,5107,5326,5400,5469,5806,5902,5929,5943,5957,5971,6731,8381,8382,8673,8684,8732,8964,8972,8973,8974,8976,9026,9092,9158,9832,9934,10359,10623,12749,11090,11193,13068,11296,11399,13564",,,,,End of Year
AL-Fertilizer Dealer Permit,AL,Alabama,Fertilizer Dealer Permit,,Fertilizer,N/A,> 0,,,No,No,License,Annual,10,$10.00,$10.00,,$/License,,,​Donnie Walker​,Donnie.Walker@agi.alabama.gov,,,(334) 240-7121,,Alabama Department of Agriculture & Industries,Online Portal,https://adaiagcomp.force.com/agi/s/login/,,2 Weeks,30,,,,,,,,Online Portal,,,https://adaiagcomp.force.com/agi/s/login/,,https://adaiagcomp.force.com/agi/s/login/,https://agi.alabama.gov/agcompliance/permits/,,,,Not required since we have the Fertilizer Manufacturers Permit,Alabama Dept of Agriculture & Industries,Audits and Reports Section,1445 Federal Drive,Montgomery,AL,36107,Fertilizer,,"COR-AL-ALL NON-PEST-ALL,AGR-AL-ALL NON-PEST-ALL,ARB-AL-ALL NON-PEST-ALL,BIN-AL-ALL NON-PEST-ALL,BOR-AL-ALL NON-PEST-ALL,SYM-AL-ALL NON-PEST-ALL,VER-AL-ALL NON-PEST-ALL,OMY-AL-ALL NON-PEST-ALL,GWB-AL-ALL NON-PEST-ALL,EEA-AL-ALL NON-PEST-ALL,AAS-AL-ALL NON-PEST-ALL,ABM-AL-ALL NON-PEST-ALL,ABM-AL-ALL NON-PEST-ALL,IBA-AL-ALL NON-PEST-ALL",2006,,,,,End of Year
AL-Fertilizer Manufacturers Permit,AL,Alabama,Fertilizer Manufacturers Permit,,Fertilizer,N/A,> 0,,,No,No,License,Annual,10,$37.50,$37.50,,$/License,,,​Donnie Walker​,Donnie.Walker@agi.alabama.gov,,,(334) 240-7121,,Alabama Department of Agriculture & Industries,Online Portal,https://adaiagcomp.force.com/agi/s/login/,,2 Weeks,30,,,,,,,,Online Portal,Current Labels (every year),Online Portal,https://adaiagcomp.force.com/agi/s/login/,,https://adaiagcomp.force.com/agi/s/login/,https://agi.alabama.gov/agcompliance/permits/,,,,Email labels to Donnie Walker after license is renewed online.,Alabama Dept of Agriculture & Industries,Audits and Reports Section,1445 Federal Drive,Montgomery,AL,36107,Fertilizer,"938,3532,5395,6730,1463,2046,312,6001,8097,7852,8600,9209,9830,9860,2612,13380,13423,2006","COR-AL-ALL NON-PEST-ALL,AGR-AL-ALL NON-PEST-ALL,ARB-AL-ALL NON-PEST-ALL,BIN-AL-ALL NON-PEST-ALL,BOR-AL-ALL NON-PEST-ALL,SYM-AL-ALL NON-PEST-ALL,VER-AL-ALL NON-PEST-ALL,OMY-AL-ALL NON-PEST-ALL,GWB-AL-ALL NON-PEST-ALL,EEA-AL-ALL NON-PEST-ALL,AAS-AL-ALL NON-PEST-ALL,ABM-AL-ALL NON-PEST-ALL,ABM-AL-ALL NON-PEST-ALL,IBA-AL-ALL NON-PEST-ALL","312,938,1463,2046,2612,3532,5395,6001,6730,7852,8097,8600,9209,9830,9860,13423",,,,,End of Year
AL-Inspection fee,AL,Alabama,Inspection fee,,Fertilizer,N/A,,,,No,Yes,Tonnage/Mill,Monthly,,,,$0.7500,$/Ton Sold,$2.00,$10.00,​Donnie Walker​,Donnie.Walker@agi.alabama.gov,,,(334) 240-7121,,Alabama Department of Agriculture & Industries,,https://adaiagcomp.force.com/agi/s/login/,,,,,,,,,,,Online Portal,,,https://adaiagcomp.force.com/agi/s/login/,Online Portal,https://adaiagcomp.force.com/agi/s/login/,https://agi.alabama.gov/agcompliance/permits/,,,,No minimum fee for zero report.,Alabama Dept of Agriculture & Industries,Audits and Reports Section,1445 Federal Drive,Montgomery,AL,36107,Tonnage,"701,1780,2049,2516,6647,6898,6069,7090,8501,8819,10315,10353,13421,14058","COR-AL-ALL NON-PEST-ALL,AGR-AL-ALL NON-PEST-ALL,ARB-AL-ALL NON-PEST-ALL,BIN-AL-ALL NON-PEST-ALL,BOR-AL-ALL NON-PEST-ALL,SYM-AL-ALL NON-PEST-ALL,VER-AL-ALL NON-PEST-ALL,OMY-AL-ALL NON-PEST-ALL,GWB-AL-ALL NON-PEST-ALL,EEA-AL-ALL NON-PEST-ALL,AAS-AL-ALL NON-PEST-ALL,ABM-AL-ALL NON-PEST-ALL,ABM-AL-ALL NON-PEST-ALL,IBA-AL-ALL NON-PEST-ALL","701,1780,2049,2516,6069,6647,6898,7090,8501,8819,10315,10353",,,,"01,02,03,04,05,06,07,08,09,10,11,12",
AL-Lime Location Permit,AL,Alabama,Lime Location Permit,,Liming Material,N/A,,Ag-Use,,No,Yes,License,Annual,10,$37.50,$37.50,,,,,,,,,,,Alabama Department of Agriculture & Industries,,https://adaiagcomp.force.com/agi/s/login/,,,30,,,,,,,,Online Portal,,,https://adaiagcomp.force.com/agi/s/login/,,https://adaiagcomp.force.com/agi/s/login/,https://agi.alabama.gov/agcompliance/permits/,,,,,,,,,,,,9831,,9831,,,,,End of Year
AL-Lime Material 1st Product,AL,Alabama,Lime Material 1st Product,,Liming Material,N/A,,Ag-Use,,No,Yes,Registration,Annual,10,$250.00,$250.00,,$/License,,,​Donnie Walker​,Donnie.Walker@agi.alabama.gov,,,(334) 240-7121,,Alabama Department of Agriculture & Industries,Online Portal,https://adaiagcomp.force.com/agi/s/login/,Label,1 Week,30,Easy,,No,,,,,Online Portal,Current Labels (every year),Online Portal,https://adaiagcomp.force.com/agi/s/login/,,https://adaiagcomp.force.com/agi/s/login/,https://agi.alabama.gov/agcompliance/permits/,,,None,,Alabama Dept of Agriculture & Industries,Audits and Reports Section,1445 Federal Drive,Montgomery,AL,36107,Fertilizer,8962,"COR-AL-ALL NON-PEST-ALL,AGR-AL-ALL NON-PEST-ALL,ARB-AL-ALL NON-PEST-ALL,BIN-AL-ALL NON-PEST-ALL,BOR-AL-ALL NON-PEST-ALL,SYM-AL-ALL NON-PEST-ALL,VER-AL-ALL NON-PEST-ALL,OMY-AL-ALL NON-PEST-ALL,GWB-AL-ALL NON-PEST-ALL,EEA-AL-ALL NON-PEST-ALL,AAS-AL-ALL NON-PEST-ALL,ABM-AL-ALL NON-PEST-ALL,ABM-AL-ALL NON-PEST-ALL,IBA-AL-ALL NON-PEST-ALL",8962,,,,,End of Year
AL-Lime Material Additonal Product,AL,Alabama,Lime Material Additonal Product,,Liming Material,N/A,,,,No,Yes,Registration,Annual,10,$125.00,$125.00,,$/Registration,,,​Donnie Walker​,Donnie.Walker@agi.alabama.gov,,,(334) 240-7121,,Alabama Department of Agriculture & Industries,Online Portal,https://adaiagcomp.force.com/agi/s/login/,Label,1 Week,30,Easy,,No,,,,,Online Portal,Current Labels (every year),Online Portal,https://adaiagcomp.force.com/agi/s/login/,,https://adaiagcomp.force.com/agi/s/login/,https://agi.alabama.gov/agcompliance/permits/,,,None,,Alabama Dept of Agriculture & Industries,Audits and Reports Section,1445 Federal Drive,Montgomery,AL,36107,Fertilizer,"8963,8965,8966,8967,8970,8971,8969,8975,9833,9834,9835,13564",,"8963,8965,8966,8967,8969,8970,8971,8975,9833,9834,9835,13565,13566,13567,13568,13569,13570",,,,,End of Year
AL-Lime Reporting,AL,Alabama,Lime Reporting,,Liming Material,N/A,,,,No,Yes,Tonnage/Mill,Monthly,,,,$0.2500,$/Ton Sold,$2.00,$10.00,​Donnie Walker​,Donnie.Walker@agi.alabama.gov,,,(334) 240-7121,,Alabama Department of Agriculture & Industries,Online Portal,https://adaiagcomp.force.com/agi/s/login/,Label,,,,,,,,,,Online Portal,,,https://adaiagcomp.force.com/agi/s/login/,Online Portal,https://adaiagcomp.force.com/agi/s/login/,https://agi.alabama.gov/agcompliance/permits/,,,,No minimum fee for zero report.,Alabama Dept of Agriculture & Industries,Audits and Reports Section,1445 Federal Drive,Montgomery,AL,36107,Tonnage,8998,,8998,,,,"01,02,03,04,05,06,07,08,09,10,11,12",
