ID,Product Name,Company,State Regulation,State Reg Type,Initial Cost/Unit,Initial Registration Status,Next Renewal Plans,Manage Tonnage?,Certificate Exp,Renewal Estimate,Initial Sub Date,Cancellation Effective,Submission Date,Frequency,Month,State,Initial Current Payment,Renewal Current Payment,Tonnage Current Payment,ALL Payments,Label On File,Submission/Maintenance Notes,Label change request,Label Update Submission,State ID,State Name,Current Certificate,Inactive (from Company),Priority/Phase,Last Modified,Renewal Method,Min Ton Fee,Late Fee,Fee Unit,Manage Renewals?,Smallest Net Weight (Lbs),Active Prod?,Product Name Lookup,Renewal Actual,Invoiced On,Eligible for Sale,Multiple Package Sizes?,Smallest Package Size,Product Grade,Ag Use? (Product),Product Type,Product Types Regulated,Claim Triggers,Microbes Included?,Package Unit,Invoice Status,Label Update Pending,Company Name,Address Line 1,Address Line 2,Package Size Trigger,Reg App Method,Test Frequency (from State Regulation),Pathogen Analysis,Heavy Metals Test,Labs Required For Reg,Efficacy Requirements,In-state trials,State Regulation Notes,New Reg Turnaround,New Reg Sub Docs Needed,Label Update Needed,Product Notes,Check Payee,Office Email Address,Label Update Submission Method,Tonnage Submission Method,Invoice #,New Reg Method,Created By,Reg Classification,Approval Received,Tonnage Reporting Req'd?,Reg Classification 2,Login,Password (from Login),Username (from Login),Website (from Login),Day of Month Due,Fee Unit 2,TON Cost/Unit (from State Regulation),CONFIRMED - State Regulation,CONFIRMED - Registration Status,Calculation,Internal Action Needed,State Contact (SC),SC Email Address,Pending Date - Days Since Initial Sub,Minimum Days Before Follow-up,Reg/Lic Number,License #,New Registration Forms,PLL Registration Status Provided,Tonnage Form or Portal,New Registration Notes,USA Plant ID (from Login),Renewal Registration Status,Mail Merge,Renewal Reminder/Form Received,State Abv,Created,ready-to-mail?,Submitted,Renewal Season (from State Regulation),States,PLL/AQT Phase,Tonnage Month (from State Regulation)
8251,Bacil-Able,AAS,AL-Soil Amendment,Label Submission,$0.00,Client Managed,Client Managed,No,9/30/2024,$0.00,4/5/2023,,,Annual,10,AL,,,,,,,,,AL,Alabama,,0 checked out of 1,,11/14/2024 2:19pm,Online Portal,,,$/Registration,No,2.49,1 checked out of 1,,,AAS-90032227-State Renewal Fees,Unknown,Yes,0.29,0-0-0,Yes,"Biological Inoculant,Legume Inoculant",Amendment/Conditioner,Increased nutrient availability/uptake,Yes,gal,Cancelled,,"Able Ag Solutions, LLC",,,,N/A,,,,None,,No,,,Label,,"37.5 fl oz, 75 fl oz, 150 fl oz, 300 fl oz",Alabama Department of Agriculture & Industries,,Online Portal,,90032227,Online Portal,Damon Cory-Watson,Soil Amendment,,No,Soil Amendment,AAS-AL-ALL NON-PEST-ALL,Prosperity*4,biofertregistration@delta-ac.com,https://adaiagcomp.force.com/agi/s/login/,,$/Registration,,AL-Soil Amendment,Approved,Good,,​Donnie Walker​,Donnie.Walker@agi.alabama.gov,657,30,,,https://adaiagcomp.force.com/agi/s/login/,Approved,https://adaiagcomp.force.com/agi/s/login/,,,Client Managed,,,AL,2/15/2023 9:57pm,,,End of Year,,,
8097,Fertilizer License,AAS,AL-Fertilizer Manufacturers Permit,License,$37.50,Client Managed,Client Managed,No,9/30/2024,$37.50,2/16/2023,,,Annual,10,AL,AAS-AL-CC-New License,,,"AAS-AL-CC-New License,AAS-AL-CC-Renewal2024",,Client plans to do AL renewals.,,,AL,Alabama,AL Able Ag License exp 2024-09-30.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1737446400000/YuMm8MqHq_Fb0W6X9OURlA/5CXVSwD6RjWw-pV3WHtBxyp4_5BtTsv-ifvUepW5830WzUMFDnFcQXlVj_kU4xA6fyFiehNjBuygc6TFj3h9RX6qNkWLygdvUj-qLQwT8amK5SaFSrXm8v7yKW7OH33WhorKXbaQKLNvdxH-wKwEMs4uc5W1zDF-el2jEUyhXMynx2rwgJcFgWqJS0yhL_el/jzJEkDMGQAcuqfWmK9umjpAZzY78ZOQb98IChunSzaw),0 checked out of 1,,12/16/2024 7:50am,Online Portal,,,$/License,No,0.00,1 checked out of 1,Fertilizer License,,"""AAS-90031440-State Renewal Fees, Reconciliation (Monies owed)""",Unknown,,,,,Fertilizer,Fertilizer,,No,,Paid,,"Able Ag Solutions, LLC",Alabama Dept of Agriculture & Industries,Audits and Reports Section,,N/A,,,,,,,Email labels to Donnie Walker after license is renewed online.,2 Weeks,,,,Alabama Department of Agriculture & Industries,,Online Portal,,90031440,Online Portal,Damon Cory-Watson,Fertilizer Manufacturers Permit,,No,Fertilizer Manufacturers Permit,AAS-AL-ALL NON-PEST-ALL,Prosperity*4,biofertregistration@delta-ac.com,https://adaiagcomp.force.com/agi/s/login/,,$/License,,AL-Fertilizer Manufacturers Permit,Approved,,,​Donnie Walker​,Donnie.Walker@agi.alabama.gov,705,30,,,https://adaiagcomp.force.com/agi/s/login/,Client Managed,https://adaiagcomp.force.com/agi/s/login/,,,Client Managed,,,AL,2/15/2023 9:43pm,,,End of Year,,,
8381,Function-Able EX,AAS,AL-Commercial Fertilizer,Label Submission,$0.00,No Submission,Client Managed,No,,$0.00,,,,Annual,10,AL,,,,,,Submission is pending documents from AAS,,,AL,Alabama,,0 checked out of 1,,12/16/2024 7:50am,Online Portal,,,,No,2.80,1 checked out of 1,,,,No,,2.80,0-0-0,Yes,Fertilizer,Fertilizer,,No,lbs,,,"Able Ag Solutions, LLC",Alabama Dept of Agriculture & Industries,Audits and Reports Section,,N/A,,,,,,,"Registration not required. Label submission only, because we have a Manufacturer's Permit",3 months,Label,,2.8 lbs,Alabama Department of Agriculture & Industries,,Online Portal,,,Paper/Mail,Teressa Tubia,Commercial Fertilizer,,Yes,Commercial Fertilizer,,,,,,,,AL-Commercial Fertilizer,Planned,,,​Donnie Walker​,Donnie.Walker@agi.alabama.gov,NaN,30,,,https://adaiagcomp.force.com/agi/s/login/,No Submission,https://adaiagcomp.force.com/agi/s/login/,,,,,,AL,2/21/2023 12:01pm,,,End of Year,,,
8382,Reli-Able,AAS,AL-Commercial Fertilizer,Label Submission,$0.00,Client Managed,Client Managed,No,9/30/2024,$0.00,4/5/2023,,,Annual,10,AL,,,,,,Client doing,,,AL,Alabama,,0 checked out of 1,,11/14/2024 2:19pm,Online Portal,,,,No,0.00,1 checked out of 1,,,AAS-90032227-State Renewal Fees,Unknown,,,0-0-0,Yes,Fertilizer,Fertilizer,,No,,Cancelled,,"Able Ag Solutions, LLC",Alabama Dept of Agriculture & Industries,Audits and Reports Section,,N/A,,,,,,,"Registration not required. Label submission only, because we have a Manufacturer's Permit",3 months,Label,,,Alabama Department of Agriculture & Industries,,Online Portal,,90032227,Paper/Mail,Teressa Tubia,Commercial Fertilizer,,Yes,Commercial Fertilizer,AAS-AL-ALL NON-PEST-ALL,Prosperity*4,biofertregistration@delta-ac.com,https://adaiagcomp.force.com/agi/s/login/,,,,AL-Commercial Fertilizer,Approved,Good,,​Donnie Walker​,Donnie.Walker@agi.alabama.gov,657,30,,,https://adaiagcomp.force.com/agi/s/login/,Approved,https://adaiagcomp.force.com/agi/s/login/,,,Client Managed,,,AL,2/21/2023 12:02pm,,,End of Year,,,
8172,Rhiz-Able PN,AAS,AL-Soil Amendment,Label Submission,$0.00,Client Managed,Client Managed,No,9/30/2024,$0.00,4/25/2023,,,Annual,10,AL,,,,,,,,,AL,Alabama,,0 checked out of 1,,11/14/2024 2:19pm,Online Portal,,,$/Registration,No,0.00,1 checked out of 1,,,AAS-90032227-State Renewal Fees,Unknown,Yes,,0-0-0,Yes,"Biological Inoculant,Legume Inoculant",Amendment/Conditioner,Increased nutrient availability/uptake,Yes,,Cancelled,,"Able Ag Solutions, LLC",,,,N/A,,,,None,,No,,,Label,,"50.75 fl. oz, 203.00 fl oz",Alabama Department of Agriculture & Industries,,Online Portal,,90032227,Online Portal,Damon Cory-Watson,Soil Amendment,,No,Soil Amendment,AAS-AL-ALL NON-PEST-ALL,Prosperity*4,biofertregistration@delta-ac.com,https://adaiagcomp.force.com/agi/s/login/,,$/Registration,,AL-Soil Amendment,Approved,Good,,​Donnie Walker​,Donnie.Walker@agi.alabama.gov,637,30,,,https://adaiagcomp.force.com/agi/s/login/,Approved,https://adaiagcomp.force.com/agi/s/login/,,,Client Managed,,,AL,2/15/2023 9:47pm,,,End of Year,,,
8187,Rhiz-Able SB,AAS,AL-Soil Amendment,Label Submission,$0.00,Client Managed,Client Managed,No,9/30/2024,$0.00,4/5/2023,,,Annual,10,AL,,,,,,,,,AL,Alabama,,0 checked out of 1,,11/14/2024 2:19pm,Online Portal,,,$/Registration,No,3.44,1 checked out of 1,,,AAS-90032227-State Renewal Fees,Unknown,Yes,0.40,0-0-0,Yes,"Biological Inoculant,Legume Inoculant",Amendment/Conditioner,Increased nutrient availability/uptake,Yes,gal,Cancelled,,"Able Ag Solutions, LLC",,,,N/A,,,,None,,No,,,Label,,"50.75 fl. oz, 203.00 fl oz",Alabama Department of Agriculture & Industries,,Online Portal,,90032227,Online Portal,Damon Cory-Watson,Soil Amendment,,No,Soil Amendment,AAS-AL-ALL NON-PEST-ALL,Prosperity*4,biofertregistration@delta-ac.com,https://adaiagcomp.force.com/agi/s/login/,,$/Registration,,AL-Soil Amendment,Approved,Good,,​Donnie Walker​,Donnie.Walker@agi.alabama.gov,657,30,,,https://adaiagcomp.force.com/agi/s/login/,Approved,https://adaiagcomp.force.com/agi/s/login/,,,Client Managed,,,AL,2/15/2023 9:53pm,,,End of Year,,,
8315,Root-Able,AAS,AL-Soil Amendment,Label Submission,$0.00,Client Managed,Client Managed,No,9/30/2024,$0.00,4/5/2023,,,Annual,10,AL,,,,,,,,,AL,Alabama,,0 checked out of 1,,11/14/2024 2:19pm,Online Portal,,,$/Registration,No,1.25,1 checked out of 1,,,AAS-90032227-State Renewal Fees,Unknown,Yes,1.25,0-0-0,Yes,"Biological Inoculant,Legume Inoculant",Amendment/Conditioner,Increased nutrient availability/uptake,Yes,lbs,Cancelled,,"Able Ag Solutions, LLC",,,,N/A,,,,None,,No,,,Label,,"20 oz, 40 oz, 80 oz, 160 oz, 200 oz",Alabama Department of Agriculture & Industries,,Online Portal,,90032227,Online Portal,Damon Cory-Watson,Soil Amendment,,No,Soil Amendment,AAS-AL-ALL NON-PEST-ALL,Prosperity*4,biofertregistration@delta-ac.com,https://adaiagcomp.force.com/agi/s/login/,,$/Registration,,AL-Soil Amendment,Approved,Good,,​Donnie Walker​,Donnie.Walker@agi.alabama.gov,657,30,,,https://adaiagcomp.force.com/agi/s/login/,Approved,https://adaiagcomp.force.com/agi/s/login/,,,Client Managed,,,AL,2/15/2023 9:58pm,,,End of Year,,,
12941,Root-Able,AAS,AL-Soil Amendment,Label Submission,$0.00,Client Managed,Client Managed,No,9/30/2024,$0.00,4/5/2023,,,Annual,10,AL,,,,,,,,,AL,Alabama,,0 checked out of 1,,11/14/2024 2:19pm,Online Portal,,,$/Registration,No,1.25,1 checked out of 1,,,AAS-90032227-State Renewal Fees,Unknown,Yes,1.25,0-0-0,Yes,"Biological Inoculant,Legume Inoculant",Amendment/Conditioner,Increased nutrient availability/uptake,Yes,lbs,Cancelled,,"Able Ag Solutions, LLC",,,,N/A,,,,None,,No,,,Label,,"20 oz, 40 oz, 80 oz, 160 oz, 200 oz",Alabama Department of Agriculture & Industries,,Online Portal,,90032227,Online Portal,Carol Baker,Soil Amendment,,No,Soil Amendment,AAS-AL-ALL NON-PEST-ALL,Prosperity*4,biofertregistration@delta-ac.com,https://adaiagcomp.force.com/agi/s/login/,,$/Registration,,AL-Soil Amendment,Approved,Good,,​Donnie Walker​,Donnie.Walker@agi.alabama.gov,657,30,,,https://adaiagcomp.force.com/agi/s/login/,Approved,https://adaiagcomp.force.com/agi/s/login/,,,Client Managed,,,AL,5/29/2024 3:08pm,,,End of Year,,,
8501,Tonnage,AAS,AL-Inspection fee,Tonnage/Mill,,Client Managed,Client Managed,No,9/30/2024,,,,6/20/2024,Monthly,,AL,,,,,,,,,AL,Alabama,,0 checked out of 1,,12/16/2024 7:50am,Online Portal,$2.00,$10.00,$/Ton Sold,No,0.00,1 checked out of 1,,,,Unknown,,,,,,Fertilizer,,No,,,,"Able Ag Solutions, LLC",Alabama Dept of Agriculture & Industries,Audits and Reports Section,,N/A,,,,,,,No minimum fee for zero report.,,,,,Alabama Department of Agriculture & Industries,,,Online Portal,,,Teressa Tubia,Inspection fee,,Yes,Inspection fee,AAS-AL-ALL NON-PEST-ALL,Prosperity*4,biofertregistration@delta-ac.com,https://adaiagcomp.force.com/agi/s/login/,20,$/Ton Sold,$0.75,AL-Inspection fee,TON Required,,,​Donnie Walker​,Donnie.Walker@agi.alabama.gov,NaN,,,,https://adaiagcomp.force.com/agi/s/login/,Client Managed,https://adaiagcomp.force.com/agi/s/login/,,,Client Managed,,,AL,5/20/2023 8:38pm,,,,,,"01,02,03,04,05,06,07,08,09,10,11,12"
8260,Bacil-Able,AAS,AR-Soil Amendment,Registration,$25.00,No Submission,Client Managed,No,,$25.00,,,,Annual,6,AR,,,,,,,,,AR,Arkansas,,0 checked out of 1,,12/16/2024 7:50am,"Online Portal,Email",,,$/Registration,No,2.49,1 checked out of 1,,,,No,Yes,0.29,0-0-0,Yes,"Biological Inoculant,Legume Inoculant","Amendment/Conditioner,Biological Inoculant,Surfactant/Wetting Agent","Yield increase,Value in promoting plant growth",Yes,gal,,,"Able Ag Solutions, LLC",,Arkansas State Plant Board,,"Soil,Foliar",,,,,Yes - Section 4 subsection C - Claims need to have proof of usefulness - studies done in AR conditions on those crops that are on the label.,Yes,Only Inoculants that are applied in-furrow are considered a Soil Amendment. Seed Applications are exempt from regulation.,2 Months,"Label,SDS,Efficacy",,"37.5 fl oz, 75 fl oz, 150 fl oz, 300 fl oz",State Plant Board,soil.amendment@arkansas.gov,Email,,,"Online Portal,Email",Damon Cory-Watson,Soil Amendment,,Yes,Soil Amendment,,,,,,$/Registration,,AR-Soil Amendment,No Submission,Good,,Mike Stage,Mike.stage@agriculture.arkansas.gov,NaN,30,,,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,No Submission,https://agriculture.arkansas.gov/plant-industries/feed-and-fertilizer-section/forms/,,,,,,AR,2/15/2023 9:57pm,,,Mid Year,,,
