ID,State ID,State Regulation,Login,Company,Product Name,Renewal Estimate,Late Fee,State Reg Type,Initial Sub Date,Initial Registration Status,Renewal Current Payment,ALL Payments,Certificate Exp,Cancellation Effective,Submission Date,Approval Received,Frequency,Renewal Registration Status,Month,Submission/Maintenance Notes,Current Certificate,Invoiced On
14116,,NY-Ag Liming Material License,,OMY,Liming Material License,$150.00,,License,,Approved,,,12/31/2024,,,,Biennial,Renewal Planned,01,2024-12-16: TJT handling renewal,,
9308,AZ,AZ-Commercial Fertilizer License,,OMY,Fertilizer License,$250.00,$0.00,License,,Approved,OMY-AZ-67770-24-26 renewals,OMY-AZ-67770-24-26 renewals,6/30/2024,,7/29/2024,,Biennial,,06,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
8977,AZ,AZ-Commerical Fertilizer,,OMY,Greenlight Ca,$0.00,$0.00,Label Submission,,Approved,OMY-AZ-67770-24-26 renewals,OMY-AZ-67770-24-26 renewals,6/30/2024,,7/29/2024,,Biennial,,06,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
8978,AZ,AZ-Commerical Fertilizer,,OMY,Greenlight Ca Max,$0.00,$0.00,Label Submission,,Approved,OMY-AZ-67770-24-26 renewals,OMY-AZ-67770-24-26 renewals,6/30/2024,,7/29/2024,,Biennial,,06,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
8980,AZ,AZ-Commerical Fertilizer,,OMY,Greenlight Mg,$0.00,$0.00,Label Submission,,Approved,OMY-AZ-67770-24-26 renewals,OMY-AZ-67770-24-26 renewals,6/30/2024,,7/29/2024,,Biennial,,06,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
8981,AZ,AZ-Commerical Fertilizer,,OMY,Greenlight Mg Max,$0.00,$0.00,Label Submission,,Approved,OMY-AZ-67770-24-26 renewals,OMY-AZ-67770-24-26 renewals,6/30/2024,,7/29/2024,,Biennial,,06,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
8982,AZ,AZ-Commerical Fertilizer,,OMY,Greenlight Mg Prime,$0.00,$0.00,Label Submission,,Approved,OMY-AZ-67770-24-26 renewals,OMY-AZ-67770-24-26 renewals,6/30/2024,,7/29/2024,,Biennial,,06,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
8979,AZ,AZ-Commerical Fertilizer,,OMY,Greenlight Ca Prime,$0.00,$0.00,Label Submission,,Approved,OMY-AZ-67770-24-26 renewals,OMY-AZ-67770-24-26 renewals,6/30/2024,,7/29/2024,,Biennial,,06,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
8983,AZ,AZ-Commerical Fertilizer,,OMY,Greenlight S,$0.00,$0.00,Label Submission,,Approved,OMY-AZ-67770-24-26 renewals,OMY-AZ-67770-24-26 renewals,6/30/2024,,7/29/2024,,Biennial,,06,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
8984,AZ,AZ-Commerical Fertilizer,,OMY,Greenlight S Max,$0.00,$0.00,Label Submission,,Approved,OMY-AZ-67770-24-26 renewals,OMY-AZ-67770-24-26 renewals,6/30/2024,,7/29/2024,,Biennial,,06,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
8985,AZ,AZ-Commerical Fertilizer,,OMY,Greenlight S Prime,$0.00,$0.00,Label Submission,,Approved,OMY-AZ-67770-24-26 renewals,OMY-AZ-67770-24-26 renewals,6/30/2024,,7/29/2024,,Biennial,,06,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
8986,AZ,AZ-Commerical Fertilizer,,OMY,Ground Force Lime,$0.00,$0.00,Label Submission,,Approved,OMY-AZ-67770-24-26 renewals,OMY-AZ-67770-24-26 renewals,6/30/2024,,7/29/2024,,Biennial,,06,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
8987,AZ,AZ-Commerical Fertilizer,,OMY,Ground Force Gypsum,$0.00,$0.00,Label Submission,,Approved,OMY-AZ-67770-24-26 renewals,OMY-AZ-67770-24-26 renewals,6/30/2024,,7/29/2024,,Biennial,,06,,,"""OMY-90031545-State Renewal Fees, Tonnage Fees, Reconciliation (Monies owed)"""
5404,CA,CA-Agricultural Mineral,ARB-CA-ALL NON-PEST-ALL,ARB,Mn-jet Fe,$50.00,,Registration,,Approved,ARB-CA-CC-24-25 Mn-jet Renewal,"ARB-CA-CC-FertProdRenew2022,ARB-CA-CC-24-25 Mn-jet Renewal",6/30/2024,,7/30/2024,,Biennial,,"01, 07",,,
